month,pacNSA,pacSA,usNSA,usSA,hiSA
1/1/2018,294.06,296.29,252.02,253.44,242.43
2/1/2018,299.44,300.09,254.74,255.61,242.43
3/1/2018,300.92,299.36,257.62,256.34,242.43
4/1/2018,303.68,300.48,259.91,257.26,245.69
5/1/2018,305.62,301.27,263.03,258.74,245.69
6/1/2018,307.01,303.38,264.7,259.89,245.69
7/1/2018,307.62,303.93,265.5,260.79,246.17
8/1/2018,309.75,306.78,266.16,262.19,246.17
9/1/2018,308.13,305.87,265.37,262.48,246.17
10/1/2018,307.56,307.08,265.27,263.58,244.21
11/1/2018,308.19,308.14,265.95,265.01,244.21
12/1/2018,307.21,309.32,265.36,265.88,244.21
1/1/2019,308.15,310.21,265.94,267.16,248.62
2/1/2019,310.5,310.84,267.85,268.47,248.62
3/1/2019,314.11,312.26,270.62,269.12,248.62
4/1/2019,317.53,314.1,273.72,270.91,247.62
5/1/2019,320.95,316.47,276.66,272.29,247.62
6/1/2019,320.2,316.78,277.73,272.98,247.62
7/1/2019,322.39,318.85,279.09,274.39,250.29
8/1/2019,322.13,319.1,278.76,274.65,250.29
9/1/2019,322.64,320.19,279.73,276.62,250.29
10/1/2019,323.23,322.48,280.03,278.09,250.82
11/1/2019,324.12,323.95,280.07,278.97,250.82
12/1/2019,323.46,325.71,280.94,281.36,250.82
1/1/2020,326.41,328.44,281.74,282.82,250.94
2/1/2020,331.01,331.23,284.99,285.47,250.94
3/1/2020,334.18,332.1,287.85,286.18,250.94
4/1/2020,336.86,333.19,289.76,286.79,251.91
5/1/2020,335.42,330.76,290.97,286.43,251.91
6/1/2020,339.35,335.88,294.42,289.53,251.91
7/1/2020,342.89,339.24,297.78,292.88,249.09
8/1/2020,348.23,344.94,301.9,297.47,249.09
9/1/2020,353.58,350.89,305.77,302.33,249.09
10/1/2020,357.64,356.63,308.92,306.67,252.15
11/1/2020,362.69,362.44,311.25,309.96,252.15
12/1/2020,364.24,366.74,313.19,313.57,252.15
1/1/2021,368.61,370.78,315.63,316.7,252.15
2/1/2021,368.61,370.78,315.63,316.7,252.15
3/1/2021,368.61,370.78,315.63,316.7,252.15
4/1/2021,368.61,370.78,315.63,316.7,252.15
