ID,English_name,Vocalization_type,Quality,Date,X,Y,Clean_Time,Datetime,Date_String
402254,Rose-crested Blue Pipit,Call,,2/8/2018,49,63,13:30,2/8/2018 13:30,2/8/2018 13:30
406171,Rose-crested Blue Pipit,Call,A,6/7/2017,125,133,7:48,6/7/2017 7:48,6/7/2017 7:48
405901,Rose-crested Blue Pipit,Call,A,2/8/2018,58,76,12:00,2/8/2018 12:00,2/8/2018 12:00
405548,Rose-crested Blue Pipit,Song,A,3/10/2018,55,125,11:00,3/10/2018 11:00,3/10/2018 11:00
401782,Rose-crested Blue Pipit,Song,A,6/29/2008,129,123,6:00,6/29/2008 6:00,6/29/2008 6:00
401720,Rose-crested Blue Pipit,Call,A,12/28/2016,132,121,13:00,12/28/2016 13:00,12/28/2016 13:00
401719,Rose-crested Blue Pipit,Call,A,12/28/2016,106,107,13:00,12/28/2016 13:00,12/28/2016 13:00
387404,Rose-crested Blue Pipit,Call,A,9/18/2017,149,115,10:00,9/18/2017 10:00,9/18/2017 10:00
377874,Rose-crested Blue Pipit,Song,A,6/11/2000,134,118,7:43,6/11/2000 7:43,6/11/2000 7:43
368493,Rose-crested Blue Pipit,Call,A,3/13/2017,89,131,12:47,3/13/2017 12:47,3/13/2017 12:47
368492,Rose-crested Blue Pipit,Call,A,3/13/2017,141,124,12:45,3/13/2017 12:45,3/13/2017 12:45
364567,Rose-crested Blue Pipit,Song,A,4/14/2017,124,121,7:00,4/14/2017 7:00,4/14/2017 7:00
353709,Rose-crested Blue Pipit,Call,A,10/8/2016,127,119,0:00,10/8/2016 0:00,10/8/2016 0:00
351273,Rose-crested Blue Pipit,Call,A,1/17/2017,146,114,13:00,1/17/2017 13:00,1/17/2017 13:00
299736,Rose-crested Blue Pipit,Call,A,5/31/2015,131,133,8:29,5/31/2015 8:29,5/31/2015 8:29
298739,Rose-crested Blue Pipit,Call,A,1/9/2016,124,116,15:00,1/9/2016 15:00,1/9/2016 15:00
293916,Rose-crested Blue Pipit,Call,A,6/5/2015,147,117,9:01,6/5/2015 9:01,6/5/2015 9:01
293914,Rose-crested Blue Pipit,Song,A,6/5/2015,142,114,7:19,6/5/2015 7:19,6/5/2015 7:19
277989,Rose-crested Blue Pipit,Song,A,5/26/2015,159,117,20:31,5/26/2015 20:31,5/26/2015 20:31
277952,Rose-crested Blue Pipit,Song,A,5/26/2015,128,116,15:34,5/26/2015 15:34,5/26/2015 15:34
233383,Rose-crested Blue Pipit,Call,A,3/15/2015,142,114,11:19,3/15/2015 11:19,3/15/2015 11:19
225347,Rose-crested Blue Pipit,Call,A,3/15/2015,163,117,7:23,3/15/2015 7:23,3/15/2015 7:23
181907,Rose-crested Blue Pipit,Call,A,3/13/2014,123,110,17:00,3/13/2014 17:00,3/13/2014 17:00
176636,Rose-crested Blue Pipit,Song,A,6/6/2013,121,132,7:40,6/6/2013 7:40,6/6/2013 7:40
164501,Rose-crested Blue Pipit,Song,A,5/3/1993,131,120,17:30,5/3/1993 17:30,5/3/1993 17:30
164204,Rose-crested Blue Pipit,Song,A,4/30/2012,151,154,6:00,4/30/2012 6:00,4/30/2012 6:00
163385,Rose-crested Blue Pipit,Call,A,1/5/2014,152,154,15:27,1/5/2014 15:27,1/5/2014 15:27
162569,Rose-crested Blue Pipit,Call,A,5/26/2013,75,142,6:00,5/26/2013 6:00,5/26/2013 6:00
162567,Rose-crested Blue Pipit,Call,A,5/25/2013,34,134,17:50,5/25/2013 17:50,5/25/2013 17:50
162566,Rose-crested Blue Pipit,Call,A,5/25/2013,142,121,21:18,5/25/2013 21:18,5/25/2013 21:18
162564,Rose-crested Blue Pipit,Song,A,5/25/2013,35,145,21:53,5/25/2013 21:53,5/25/2013 21:53
162563,Rose-crested Blue Pipit,Song,A,5/25/2013,116,108,21:05,5/25/2013 21:05,5/25/2013 21:05
152971,Rose-crested Blue Pipit,Song,A,6/28/2008,78,82,6:00,6/28/2008 6:00,6/28/2008 6:00
139528,Rose-crested Blue Pipit,Song,A,5/30/2009,134,144,8:00,5/30/2009 8:00,5/30/2009 8:00
138985,Rose-crested Blue Pipit,Song,A,6/18/2004,38,139,0:00,6/18/2004 0:00,6/18/2004 0:00
134557,Rose-crested Blue Pipit,Song,A,5/8/2000,39,61,11:30,5/8/2000 11:30,5/8/2000 11:30
120731,Rose-crested Blue Pipit,Call,A,7/21/2005,127,117,6:00,7/21/2005 6:00,7/21/2005 6:00
118322,Rose-crested Blue Pipit,Call,A,1/15/2013,140,149,15:00,1/15/2013 15:00,1/15/2013 15:00
118321,Rose-crested Blue Pipit,Call,A,1/15/2013,152,154,15:20,1/15/2013 15:20,1/15/2013 15:20
118320,Rose-crested Blue Pipit,Call,A,1/15/2013,127,113,15:00,1/15/2013 15:00,1/15/2013 15:00
111775,Rose-crested Blue Pipit,Call,A,10/22/2012,129,112,12:00,10/22/2012 12:00,10/22/2012 12:00
110765,Rose-crested Blue Pipit,Song,A,5/29/2012,146,111,8:30,5/29/2012 8:30,5/29/2012 8:30
106772,Rose-crested Blue Pipit,Call,A,6/29/2012,149,151,6:35,6/29/2012 6:35,6/29/2012 6:35
105151,Rose-crested Blue Pipit,Song,A,6/16/2012,127,118,5:56,6/16/2012 5:56,6/16/2012 5:56
89862,Rose-crested Blue Pipit,Song,A,4/28/1996,147,154,6:15,4/28/1996 6:15,4/28/1996 6:15
70544,Rose-crested Blue Pipit,Call,A,2/28/2010,149,154,8:00,2/28/2010 8:00,2/28/2010 8:00
70543,Rose-crested Blue Pipit,Call,A,2/28/2010,150,160,8:00,2/28/2010 8:00,2/28/2010 8:00
41283,Rose-crested Blue Pipit,Call,A,10/12/2009,137,99,11:00,10/12/2009 11:00,10/12/2009 11:00
35964,Rose-crested Blue Pipit,Call,A,9/30/2008,142,164,15:30,9/30/2008 15:30,9/30/2008 15:30
30397,Rose-crested Blue Pipit,Song,A,2/22/2009,125,121,8:00,2/22/2009 8:00,2/22/2009 8:00
14877,Rose-crested Blue Pipit,Song,A,7/1/2007,127,167,5:35,7/1/2007 5:35,7/1/2007 5:35
12122,Rose-crested Blue Pipit,Song,A,4/7/2007,166,153,6:00,4/7/2007 6:00,4/7/2007 6:00
