price,livingArea,bedrooms,bathrooms,yearBuilt,dateSold,numPhoto,elevation,parcel,numDwellings,monthlySales,seasonal,usSA,pacSA,hiSA,combined,rating,mf,r5,r7,r10,a1,a2,a3
253000,606,5,3,1964,449,4,9,18888.44242,28.6868,1,0.992222209,272.98,316.78,247.62,47,5,1,0,0,0,0,1,0
295000,467,2,1,1974,172,0,15,37858.80752,71.93173429,1,0.179766586,262.48,305.87,246.17,47,5,1,0,0,0,0,1,0
320000,520,1,1,1969,224,0,15,37858.80752,71.93173429,2,-0.655156357,265.01,308.14,244.21,47,5,1,0,0,0,0,1,0
327713,594,4,2,1966,1134,0,32,12122.6,25.5151,5,0.622046748,316.7,370.78,252.15,43,6,1,0,0,0,0,1,0
349000,541,3,2,1974,624,0,15,37858.80752,71.93173429,2,-0.967937783,281.36,325.71,250.82,47,5,1,0,0,0,0,1,0
353000,684,1,1,1975,406,0,15,17024.44242,32.34644059,1,0.648629561,272.29,316.47,247.62,47,5,1,0,0,0,0,1,0
358242,630,4,2.5,1967,1131,0,32,40000,32.34644,5,0.580800273,316.7,370.78,252.15,47,5,1,0,0,0,0,1,0
458000,814,3,2,1981,357,12,35,9810.858499,18.64063115,1,-0.137278772,269.12,312.26,248.62,62.5,9,1,0,0,0,0,1,0
480000,773,6,2,1965,1131,0,25,48806.6282,92.73259357,5,0.580800273,316.7,370.78,252.15,62.5,9,1,0,0,0,0,1,0
530000,1269,1,1,1979,260,0,14,31605.22894,60.04993499,1,-0.972118197,265.88,309.32,244.21,47,5,1,0,0,0,0,1,0
605000,1063,2,1,1987,685,0,18,371858.8075,10.23333,1,-0.699458327,285.47,331.23,250.94,47,5,1,0,0,0,0,1,0
803095,1049,2,1,1926,246,0,14,3595.333064,6.831132822,2,-0.888057323,265.01,308.14,244.21,47,5,1,0,0,0,0,1,0
860000,1112,3,2,1947,503,0,67,15624.93802,1,1,0.693281227,274.65,319.1,250.29,77.5,9,0,0,0,1,0,0,0
920000,1743,2,1,2014,1019,0,12,4387.969991,8.337142983,1,-0.965739938,316.7,370.78,252.15,47,5,0,0,0,0,0,1,0
950000,1597,4,3,2008,1131,7,50,12244.59839,23.26473694,5,0.580800273,316.7,370.78,252.15,62.5,9,1,0,0,0,0,1,0
992000,1671,3,1,1968,57,0,176,362988.4251,2,1,0.831170626,258.74,301.27,245.69,77.5,9,1,0,1,0,0,0,0
1020000,1266,2,2,1943,561,0,78,17025.40988,1,1,-0.23030567,278.09,322.48,250.82,77.5,9,0,0,0,1,0,0,0
1350000,2015,2,1.5,1942,624,0,95,10193.21729,1,2,-0.967937783,281.36,325.71,250.82,77.5,9,0,0,0,1,0,0,0
2172824,2540,3,2,1968,1133,1,188,362988.4251,1,5,0.60847687,316.7,370.78,252.15,77.5,9,0,0,0,1,0,0,0
